Resort Name,User Rating,Beginner,Intermediate,Advanced,Expert,Open Acreage
"Powder Mountain Utah, USALast Updated: 04/14Compare",3.383 Reviews,25%,40%,35%,0%,2000ac
"Powder Ridge Park Connecticut, USALast Updated: 03/26Compare",3.34 Reviews,45%,40%,15%,0%,N/A
"Powder Ridge Ski Area Minnesota, USALast Updated: 03/15Compare",3.28 Reviews,45%,40%,15%,0%,N/A
"Powderhorn Colorado, USALast Updated: 04/04Compare",3.233 Reviews,16%,30%,50%,4%,N/A
"Purgatory Colorado, USALast Updated: 04/21Compare",3.699 Reviews,22%,35%,30%,13%,0ac
"Ragged Mountain Resort New Hampshire, USALast Updated: 04/05Compare",3.153 Reviews,30%,26%,37%,7%,N/A
"Red Lodge Mountain Montana, USALast Updated: 04/21Compare",3.239 Reviews,19%,25%,36%,20%,0ac
"Red River New Mexico, USALast Updated: 03/21Compare",3.283 Reviews,31%,31%,38%,0%,N/A
"Roundtop Mountain Resort Pennsylvania, USALast Updated: 03/21Compare",3.151 Reviews,26%,32%,32%,11%,N/A
"Royal Mountain Ski Area New York, USALast Updated: 04/05Compare",3.110 Reviews,33%,34%,33%,0%,N/A
"Sandia Peak New Mexico, USALast Updated: 03/25Compare",3.027 Reviews,23%,49%,29%,0%,0ac
"Sapphire Valley North Carolina, USALast Updated: 03/08Compare",3.07 Reviews,50%,50%,0%,0%,N/A
"Schuss Mountain at Shanty Creek Michigan, USALast Updated: 03/22Compare",3.160 Reviews,36%,29%,36%,0%,60ac
"Schweitzer Idaho, USALast Updated: 04/11Compare",3.175 Reviews,10%,40%,35%,15%,2900ac
"Seven Oaks Iowa, USALast Updated: 03/08Compare",2.94 Reviews,25%,50%,25%,0%,N/A
"Seven Springs Pennsylvania, USALast Updated: 04/03Compare",3.1144 Reviews,36%,42%,18%,3%,N/A
"Shawnee Mountain Ski Area Pennsylvania, USALast Updated: 03/30Compare",3.139 Reviews,26%,48%,26%,0%,0ac
"Shawnee Peak Maine, USALast Updated: 04/04Compare",3.026 Reviews,25%,45%,20%,10%,N/A
"Showdown Montana Montana, USALast Updated: 04/06Compare",3.111 Reviews,28%,44%,28%,0%,N/A
"Sierra-at-Tahoe California, USALast Updated: 04/12Compare",3.557 Reviews,25%,50%,25%,0%,0ac
"Silver Mountain Idaho, USALast Updated: 04/21Compare",3.278 Reviews,20%,40%,30%,10%,N/A
"Silverton Mountain Colorado, USALast Updated: 04/21Compare",3.255 Reviews,0%,0%,0%,100%,0ac
"Sipapu Ski Resort New Mexico, USALast Updated: 04/04Compare",3.251 Reviews,20%,40%,30%,10%,0ac
"Ski Apache New Mexico, USALast Updated: 03/27Compare",3.2180 Reviews,53%,41%,6%,0%,N/A
"Ski Big Bear Pennsylvania, USALast Updated: 03/21Compare",3.130 Reviews,33%,28%,33%,6%,N/A
"Ski Blandford Massachusetts, USALast Updated: 02/14Compare",2.713 Reviews,40%,50%,10%,0%,N/A
"Ski Brule Michigan, USALast Updated: 03/07Compare",4.41309 Reviews,35%,35%,24%,6%,0ac
"Ski Butternut Massachusetts, USALast Updated: 03/28Compare",3.162 Reviews,36%,36%,27%,0%,95ac
"Ski China Peak California, USALast Updated: 04/12Compare",3.259 Reviews,11%,28%,33%,28%,1400ac
"Ski Granby Ranch Colorado, USALast Updated: 04/14Compare",3.252 Reviews,37%,37%,2%,24%,0ac
"Ski Santa Fe New Mexico, USALast Updated: 04/04Compare",3.2100 Reviews,16%,32%,47%,5%,N/A
"Ski Sawmill Pennsylvania, USALast Updated: 03/29Compare",3.216 Reviews,38%,23%,38%,0%,N/A
"Ski Snowstar Winter Sports Park Illinois, USALast Updated: 03/08Compare",2.815 Reviews,13%,20%,27%,40%,N/A
"Ski Sundown Connecticut, USALast Updated: 03/30Compare",3.234 Reviews,50%,25%,19%,6%,N/A
"Ski Ward Massachusetts, USALast Updated: 03/25Compare",2.64 Reviews,33%,33%,0%,33%,N/A
"Sleeping Giant Ski Resort Wyoming, USALast Updated: 04/04Compare",3.35 Reviews,15%,38%,35%,13%,184ac
"Smugglers' Notch Resort Vermont, USALast Updated: 04/10Compare",3.382 Reviews,17%,53%,26%,5%,150ac
